Name           Version          Source     Updated             Info
----           -------          ------     -------             ----
7zip           24.09            main       2024-11-30 22:22:31
anki           24.11            extras     2024-11-30 11:05:10
bat            0.25.0           main       2025-01-08 23:37:00
bind           9.16.50          main       2024-11-26 03:24:45
bottom         0.10.2           main       2024-11-26 03:25:17
bun            1.1.43           main       2025-01-09 21:21:26
clangd         19.1.2           main       2025-01-02 01:42:33
cwrsync        6.3.2            main       2024-11-26 15:52:11
dark           3.14             main       2024-11-26 15:27:57
dust           1.1.1            main       2024-11-26 15:52:12
fastfetch      2.34.0           main       2025-01-09 21:21:30
fd             10.2.0           main       2024-11-26 15:52:16
ffmpeg         7.1              main       2024-11-26 15:52:42
flameshot      12.1.0           extras     2024-11-30 23:52:11
flow-launcher  1.19.4           extras     2024-11-26 15:47:12
fzf            0.57.0           main       2024-12-15 17:38:10
gcc            13.2.0           main       2024-11-26 15:53:12
ghostscript    10.04.0          main       2024-11-26 15:53:24
git            2.47.1           main       2024-11-26 03:09:18
imagemagick    7.1.1-43         main       2024-12-23 13:38:04
innounp        1.76             main       2024-11-26 15:53:26
jq             1.7.1            main       2024-11-26 15:53:55
lazygit        0.45.0           extras     2025-01-11 15:27:08
lsd            1.1.5            main       2024-11-26 15:53:59
lua            5.4.7-2          main       2024-11-26 15:54:02
luajit         2.1.1734355927-1 main       2024-12-21 23:17:42
luarocks       3.11.1           main       2024-11-26 15:54:06
make           4.4.1            main       2024-11-26 15:54:09
Maple-Mono-NF  6.4              nerd-fonts 2024-12-03 15:48:43
mpv            0.39.0           extras     2024-11-26 15:55:14
neovim         0.10.3           main       2024-12-22 13:16:13
nu             0.101.0          main       2024-12-23 13:39:25
obsidian       1.7.7            extras     2024-11-26 15:56:11
oculante       0.9.1            extras     2024-11-26 15:56:18
ouch           0.5.1            main       2024-11-26 15:56:21
pastel         0.10.0           main       2024-11-26 15:56:22
pnpm           10.0.0           main       2025-01-08 23:36:39
poppler        24.08.0-0        main       2024-11-26 15:56:40
pwsh           7.4.6            main       2024-11-26 03:07:12
python         3.13.1           main       2024-12-04 17:40:57
ripgrep        14.1.1           main       2024-11-26 15:57:26
rust-analyzer  2024-10-28       main       2024-12-10 16:10:45
rustup         1.27.1           main       2024-11-26 15:58:10
sdl2           2.30.11          extras     2025-01-05 14:22:53
sdl2-image     2.8.4            extras     2024-12-27 22:12:42
starship       1.21.1           main       2024-11-26 03:04:29
sudo           0.2020.01.26     main       2024-11-26 15:58:11
terminal-icons 0.11.0           extras     2024-11-26 03:09:51
tree-sitter    0.24.6           main       2024-12-27 22:12:48
vcredist2022   14.42.34433.0    extras     2024-11-26 15:58:24
vscodium       1.96.2.24355     extras     2024-12-22 13:18:05
yarn           1.22.22          main       2024-11-28 17:43:10
yazi           0.4.2            main       2024-12-21 23:17:48
zoxide         0.9.6            main       2024-11-26 15:59:34
